Feature,Importance
Product_M_PB_MT_,0.50036544
Min_age,0.08737113
Syfte_VLK,0.075809024
Bolag_Älvsborg,0.06827456
Preheader_length,0.06440333
Max_age,0.05328776
Subject_has_question,0.020329088
Bolag_Skåne,0.017729253
Syfte_VXA_M,0.015979063
Dialog_LIV,0.011238956
Bolag_Göteborg och Bohuslän,0.010038505
Product_B_K_,0.008159183
Product_B_S_,0.00659019
Syfte_VRD_I,0.0057797986
Bolag_Västernorrland,0.0052937395
Bolag_Dalarna,0.0047382256
Product_B_B_,0.003966166
Bolag_Jämtland,0.0039413874
Bolag_Östgöta,0.003485888
Syfte_VRD_S,0.0034221567
Subject_length,0.002808767
Product_M_PB_,0.0023697529
Product_P_60_,0.002146456
Dialog_BNK,0.0018665086
Preheader_has_exclamation,0.0017389527
Syfte_VXA,0.0015489616
Preheader_num_words,0.001451481
Bolag_Västerbotten,0.001318464
Bolag_Kalmar,0.0012029082
Bolag_Blekinge,0.0010896449
Bolag_Göinge-Kristianstad,0.0010234156
Product_BO_,0.00091112044
Bolag_Halland,0.0008625298
Bolag_Norrbotten,0.00079227187
Product_BO_HR_,0.0007638887
Product_BO_VH_,0.0007295841
Product_BO_BR_,0.0007057866
Dialog_BO,0.0006820949
Subject_num_words,0.00064446987
Bolag_Bergslagen,0.00061795604
Syfte_VRD,0.0005394752
Bolag_Skaraborg,0.0005109654
Syfte_VXA_K,0.00047038382
Bolag_Uppsala,0.00043206668
Product_B_,0.0004286125
Bolag_Kronoberg,0.0004064776
Subject_has_exclamation,0.00040354123
Dialog_FNO,0.0003918613
Bolag_Gotland,0.00029695767
Bolag_Gävleborg,0.00020178272
Bolag_Värmland,0.00011943769
Bolag_Jönköping,8.633508e-05
Dialog_FRD,5.5080858e-05
Product_M_PB_PR_,4.955794e-05
Product_P_,3.447282e-05
Bolag_Södermanland,3.075952e-05
Bolag_Övrigt,2.7413615e-05
Preheader_has_question,1.594013e-05
Bolag_Stockholm,1.5849633e-05
Product_B_PL_,5.1365046e-06
Product_P_OSV_,0.0
Bolag_Sak,0.0
Syfte_AVS_P,0.0
Product_L_P_,0.0
